year_id,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order
201103,Mar 2011,2011,Q4,False,False,201103
201109,Sep 2011,2012,Q2,False,True,201109
201203,Mar 2012,2012,Q4,False,False,201203
201212,Dec 2012,2013,Q3,False,False,201212
201301,Jan 2013,2013,,False,False,201301
201303,Mar 2013,2013,Q4,False,False,201303
201306,Jun 2013,2014,Q1,False,False,201306
201312,Dec 2013,2014,Q3,False,False,201312
201401,Jan 2014,2014,,False,False,201401
201403,Mar 2014,2014,Q4,False,False,201403
201406,Jun 2014,2015,Q1,False,False,201406
201409,Sep 2014,2015,Q2,False,True,201409
201412,Dec 2014,2015,Q3,False,False,201412
201501,Jan 2015,2015,,False,False,201501
201503,Mar 2015,2015,Q4,False,False,201503
201506,Jun 2015,2016,Q1,False,False,201506
201509,Sep 2015,2016,Q2,False,True,201509
201512,Dec 2015,2016,Q3,False,False,201512
201601,Jan 2016,2016,,False,False,201601
201603,Mar 2016,2016,Q4,False,False,201603
201609,Sep 2016,2017,Q2,False,True,201609
201612,Dec 2016,2017,Q3,False,False,201612
201701,Jan 2017,2017,,False,False,201701
201703,Mar 2017,2017,Q4,False,False,201703
201709,Sep 2017,2018,Q2,False,True,201709
201712,Dec 2017,2018,Q3,False,False,201712
201801,Jan 2018,2018,,False,False,201801
201803,Mar 2018,2018,Q4,False,False,201803
201809,Sep 2018,2019,Q2,False,True,201809
201812,Dec 2018,2019,Q3,False,False,201812
201901,Jan 2019,2019,,False,False,201901
201903,Mar 2019,2019,Q4,False,False,201903
201909,Sep 2019,2020,Q2,False,True,201909
201912,Dec 2019,2020,Q3,False,False,201912
202001,Jan 2020,2020,,False,False,202001
202003,Mar 2020,2020,Q4,False,False,202003
202009,Sep 2020,2021,Q2,False,True,202009
202012,Dec 2020,2021,Q3,False,False,202012
202101,Jan 2021,2021,,False,False,202101
202103,Mar 2021,2021,Q4,False,False,202103
202109,Sep 2021,2022,Q2,False,True,202109
202112,Dec 2021,2022,Q3,False,False,202112
202201,Jan 2022,2022,,False,False,202201
202203,Mar 2022,2022,Q4,False,False,202203
202209,Sep 2022,2023,Q2,False,True,202209
202212,Dec 2022,2023,Q3,False,False,202212
202301,Jan 2023,2023,,False,False,202301
202303,Mar 2023,2023,Q4,False,False,202303
202309,Sep 2023,2024,Q2,False,True,202309
202312,Dec 2023,2024,Q3,False,False,202312
202401,Jan 2024,2024,,False,False,202401
202403,Mar 2024,2024,Q4,False,False,202403
202405,May 2024,2025,,False,False,202405
202409,Sep 2024,2025,Q2,False,True,202409
999999,TTM,,TTM,True,False,999999
